"model","ssp","period","year","date","variable","value"
"ACCESS-CM2","ssp245","historical",2005,2005-06-01,"tasmax",306.229675292969
"ACCESS-CM2","ssp245","historical",2005,2005-06-02,"tasmax",306.737640380859
"ACCESS-CM2","ssp245","historical",2005,2005-06-03,"tasmax",308.881408691406
"ACCESS-CM2","ssp245","historical",2005,2005-06-04,"tasmax",310.138214111328
"ACCESS-CM2","ssp245","historical",2005,2005-06-05,"tasmax",311.782501220703
"ACCESS-CM2","ssp245","historical",2005,2005-06-06,"tasmax",311.726318359375
"ACCESS-CM2","ssp245","historical",2005,2005-06-07,"tasmax",312.0869140625
"ACCESS-CM2","ssp245","historical",2005,2005-06-08,"tasmax",311.765777587891
"ACCESS-CM2","ssp245","historical",2005,2005-06-09,"tasmax",309.401947021484
"ACCESS-CM2","ssp245","historical",2005,2005-06-10,"tasmax",308.377502441406
"ACCESS-CM2","ssp245","historical",2005,2005-06-11,"tasmax",308.815002441406
"ACCESS-CM2","ssp245","historical",2005,2005-06-12,"tasmax",311.006622314453
"ACCESS-CM2","ssp245","historical",2005,2005-06-13,"tasmax",311.873046875
"ACCESS-CM2","ssp245","historical",2005,2005-06-14,"tasmax",312.572723388672
"ACCESS-CM2","ssp245","historical",2005,2005-06-15,"tasmax",312.690307617188
"ACCESS-CM2","ssp245","historical",2005,2005-06-16,"tasmax",311.808380126953
"ACCESS-CM2","ssp245","historical",2005,2005-06-17,"tasmax",308.998443603516
"ACCESS-CM2","ssp245","historical",2005,2005-06-18,"tasmax",307.613891601562
"ACCESS-CM2","ssp245","historical",2005,2005-06-19,"tasmax",307.447235107422
"ACCESS-CM2","ssp245","historical",2005,2005-06-20,"tasmax",306.758392333984
"ACCESS-CM2","ssp245","historical",2005,2005-06-21,"tasmax",306.986541748047
"ACCESS-CM2","ssp245","historical",2005,2005-06-22,"tasmax",307.353424072266
"ACCESS-CM2","ssp245","historical",2005,2005-06-23,"tasmax",309.198303222656
"ACCESS-CM2","ssp245","historical",2005,2005-06-24,"tasmax",310.747192382812
"ACCESS-CM2","ssp245","historical",2005,2005-06-25,"tasmax",311.505889892578
"ACCESS-CM2","ssp245","historical",2005,2005-06-26,"tasmax",311.476257324219
"ACCESS-CM2","ssp245","historical",2005,2005-06-27,"tasmax",312.449066162109
"ACCESS-CM2","ssp245","historical",2005,2005-06-28,"tasmax",314.687042236328
"ACCESS-CM2","ssp245","historical",2005,2005-06-29,"tasmax",315.434478759766
"ACCESS-CM2","ssp245","historical",2005,2005-06-30,"tasmax",315.070465087891
"ACCESS-CM2","ssp245","historical",2005,2005-07-01,"tasmax",314.23388671875
"ACCESS-CM2","ssp245","historical",2005,2005-07-02,"tasmax",313.494201660156
"ACCESS-CM2","ssp245","historical",2005,2005-07-03,"tasmax",310.186614990234
"ACCESS-CM2","ssp245","historical",2005,2005-07-04,"tasmax",309.734527587891
"ACCESS-CM2","ssp245","historical",2005,2005-07-05,"tasmax",311.376037597656
"ACCESS-CM2","ssp245","historical",2005,2005-07-06,"tasmax",310.798522949219
"ACCESS-CM2","ssp245","historical",2005,2005-07-07,"tasmax",309.738037109375
"ACCESS-CM2","ssp245","historical",2005,2005-07-08,"tasmax",310.047821044922
"ACCESS-CM2","ssp245","historical",2005,2005-07-09,"tasmax",309.877502441406
"ACCESS-CM2","ssp245","historical",2005,2005-07-10,"tasmax",310.199951171875
"ACCESS-CM2","ssp245","historical",2005,2005-07-11,"tasmax",310.489013671875
"ACCESS-CM2","ssp245","historical",2005,2005-07-12,"tasmax",310.34765625
"ACCESS-CM2","ssp245","historical",2005,2005-07-13,"tasmax",310.171539306641
"ACCESS-CM2","ssp245","historical",2005,2005-07-14,"tasmax",309.808776855469
"ACCESS-CM2","ssp245","historical",2005,2005-07-15,"tasmax",309.721893310547
"ACCESS-CM2","ssp245","historical",2005,2005-07-16,"tasmax",309.378021240234
"ACCESS-CM2","ssp245","historical",2005,2005-07-17,"tasmax",307.962585449219
"ACCESS-CM2","ssp245","historical",2005,2005-07-18,"tasmax",308.447814941406
"ACCESS-CM2","ssp245","historical",2005,2005-07-19,"tasmax",309.693328857422
"ACCESS-CM2","ssp245","historical",2005,2005-07-20,"tasmax",311.576080322266
"ACCESS-CM2","ssp245","historical",2005,2005-07-21,"tasmax",313.829254150391
"ACCESS-CM2","ssp245","historical",2005,2005-07-22,"tasmax",313.461120605469
