"quartile","mean","sd","se","n","variable","var_label"
"Q1 (lowest)",75915.82,33852.85,2782.69,148,"med_income","Median income ($)"
"Q2",76101.43,38245.69,3143.78,148,"med_income","Median income ($)"
"Q3",53813.05,23459.62,1928.37,148,"med_income","Median income ($)"
"Q4 (highest)",46802.7,16263.52,1336.85,148,"med_income","Median income ($)"
"Q1 (lowest)",0.35,0.21,0.02,148,"pct_minority","Minority (%)"
"Q2",0.39,0.2,0.02,148,"pct_minority","Minority (%)"
"Q3",0.48,0.16,0.01,148,"pct_minority","Minority (%)"
"Q4 (highest)",0.67,0.21,0.02,148,"pct_minority","Minority (%)"
"Q1 (lowest)",1995.9,12.12,1,148,"med_year_built","Median year built"
"Q2",1984.07,15.51,1.28,148,"med_year_built","Median year built"
"Q3",1966.61,16.9,1.39,148,"med_year_built","Median year built"
"Q4 (highest)",1966.7,12.65,1.04,148,"med_year_built","Median year built"
"Q1 (lowest)",0.33,0.22,0.02,148,"pct_renter","Renter (%)"
"Q2",0.27,0.17,0.01,148,"pct_renter","Renter (%)"
"Q3",0.32,0.17,0.01,148,"pct_renter","Renter (%)"
"Q4 (highest)",0.28,0.11,0.01,148,"pct_renter","Renter (%)"
"Q1 (lowest)",0.89,0.28,0.02,148,"pct_sfh","Single-family (%)"
"Q2",0.93,0.16,0.01,148,"pct_sfh","Single-family (%)"
"Q3",0.86,0.17,0.01,148,"pct_sfh","Single-family (%)"
"Q4 (highest)",0.89,0.17,0.01,148,"pct_sfh","Single-family (%)"
