"quartile","mean","sd","se","n","variable","var_label"
"Q1 (lowest)",38.35,0.68,0.06,148,"mean_tmax","Mean summer tmax (C)"
"Q2",38.68,0.51,0.04,148,"mean_tmax","Mean summer tmax (C)"
"Q3",38.69,0.28,0.02,148,"mean_tmax","Mean summer tmax (C)"
"Q4 (highest)",38.5,0.28,0.02,148,"mean_tmax","Mean summer tmax (C)"
"Q1 (lowest)",75915.82,33852.85,2782.69,148,"med_income","Median income ($)"
"Q2",76101.43,38245.69,3143.78,148,"med_income","Median income ($)"
"Q3",53813.05,23459.62,1928.37,148,"med_income","Median income ($)"
"Q4 (highest)",46802.7,16263.52,1336.85,148,"med_income","Median income ($)"
"Q1 (lowest)",0.35,0.21,0.02,148,"pct_minority","Minority (%)"
"Q2",0.39,0.2,0.02,148,"pct_minority","Minority (%)"
"Q3",0.48,0.16,0.01,148,"pct_minority","Minority (%)"
"Q4 (highest)",0.67,0.21,0.02,148,"pct_minority","Minority (%)"
"Q1 (lowest)",0.33,0.22,0.02,148,"pct_renter","Renter (%)"
"Q2",0.27,0.17,0.01,148,"pct_renter","Renter (%)"
"Q3",0.32,0.17,0.01,148,"pct_renter","Renter (%)"
"Q4 (highest)",0.28,0.11,0.01,148,"pct_renter","Renter (%)"
"Q1 (lowest)",0.19,0.04,0,148,"mean_ndvi","Mean NDVI"
"Q2",0.19,0.04,0,148,"mean_ndvi","Mean NDVI"
"Q3",0.16,0.03,0,148,"mean_ndvi","Mean NDVI"
"Q4 (highest)",0.15,0.02,0,148,"mean_ndvi","Mean NDVI"
