"quartile","mean","sd","se","n","variable","var_label"
"Q1 (lowest)",77663.95,33429.7,2556.43,171,"med_income","Median income ($)"
"Q2",81195.12,37710.32,2883.78,171,"med_income","Median income ($)"
"Q3",56456.61,25606.9,1963.96,170,"med_income","Median income ($)"
"Q4 (highest)",46912.53,15741.84,1203.81,171,"med_income","Median income ($)"
"Q1 (lowest)",0.35,0.21,0.02,171,"pct_minority","Minority (%)"
"Q2",0.38,0.19,0.01,171,"pct_minority","Minority (%)"
"Q3",0.45,0.16,0.01,170,"pct_minority","Minority (%)"
"Q4 (highest)",0.65,0.21,0.02,171,"pct_minority","Minority (%)"
"Q1 (lowest)",1996.97,12.17,0.93,171,"med_year_built","Median year built"
"Q2",1990.13,16.25,1.24,171,"med_year_built","Median year built"
"Q3",1969.67,17.78,1.36,170,"med_year_built","Median year built"
"Q4 (highest)",1967.74,13.68,1.05,171,"med_year_built","Median year built"
"Q1 (lowest)",0.32,0.22,0.02,171,"pct_renter","Renter (%)"
"Q2",0.24,0.16,0.01,171,"pct_renter","Renter (%)"
"Q3",0.31,0.17,0.01,170,"pct_renter","Renter (%)"
"Q4 (highest)",0.28,0.11,0.01,171,"pct_renter","Renter (%)"
"Q1 (lowest)",0.89,0.28,0.02,171,"pct_sfh","Single-family (%)"
"Q2",0.9,0.19,0.01,171,"pct_sfh","Single-family (%)"
"Q3",0.84,0.2,0.02,170,"pct_sfh","Single-family (%)"
"Q4 (highest)",0.87,0.21,0.02,171,"pct_sfh","Single-family (%)"
